user|artist_uri|artist_name|total_followers|genres
1|1EULJuDFWpZ9xg4YwtUGGt|Daniel Avery|90289|['ambient techno', 'chamber psych', 'electronica', 'float house', 'intelligent dance music', 'microhouse', 'shiver pop']
1|1GhPHrq36VKCY3ucVaZCfo|The Chemical Brothers|1834661|['alternative dance', 'big beat', 'breakbeat', 'electronica', 'new rave', 'rave']
1|1IELhvOMg5VQlU7syRm6CS|CAZZETTE|332192|['complextro', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']
1|1Jehpab4kMvjrpsHcBtYHR|Dark0|9100|['deconstructed club', 'escape room', 'future garage', 'new isolationism', 'substep', 'uk bass', 'weightless']
1|1O10apSOoAPjOu6UhUNmeI|SBTRKT|619040|['electronica', 'electropop', 'future garage', 'new rave']
1|1PlMy2Dkgz9akpHj0MfixR|Helsinki 78-82|427|[]
1|1U8nnmbuPk1EpoO7MVgIeT|GLXY|16856|['deep dnb', 'liquid funk']
1|1bT7m67vi78r2oqvxrP3X5|Naughty Boy|318128|['tropical house', 'uk contemporary r&b']
1|1bm1m4DNLeL1gCr38NzhmD|Murlo|11514|['fluxwork', 'uk bass', 'weightless']
1|1btv9qmIpbp7q1ixCYNdHu|Adam Beyer|265148|['dark techno', 'minimal techno', 'raw techno', 'schranz', 'swedish electronic', 'swedish techno', 'techno']
1|1dgdvbogmctybPrGEcnYf6|Route 94|146379|['deep groove house', 'house', 'pop dance', 'uk dance']
1|1h6Cn3P4NGzXbaXidqURXs|Swedish House Mafia|3514304|['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']
1|1lJhME1ZpzsEa5M0wW6Mso|Charlotte de Witte|499112|['belgian techno', 'electra']
1|1m6ICN9lVefrT3WqyB4W1Y|XXXY|17141|['future garage', 'uk bass', 'vogue']
1|1oZmFNkGAT93yD1xX4vTRE|Nina Kraviz|364848|['electra', 'russian electronic', 'russian techno']
1|1r7iu4v645R7o3bARTQGtn|Nebraska|5283|['deep soul house']
1|1rd51IrbtX9DqoU0Zxu4TV|DJ Marky|54744|['brazilian dnb', 'drum and bass', 'jazzy dnb', 'jump up', 'jungle', 'liquid funk', 'sambass']
1|1u7DsNFbakULvxnDGtMm90|Enrico Sangiuliano|139834|['dark techno', 'italian techno', 'minimal techno']
2|0X2BH1fck6amBIoJhDVmmJ|Ellie Goulding|10679634|['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']
2|1uNFoZAHBGtllmzznpCI3s|Justin Bieber|59061933|['canadian pop', 'pop']
2|2Waw2sSbqvAwK8NwACNjVo|Bo Burnham|1419202|['comic']
