user|track_uri|track_name|artist_uri|artist_name|album_uri|album_name
2|5iFQfP3AqVnHHS89LKQisL|Anyone For You (Tiger Lily)|2ysnwxxNtSgbb9t1m2Ur4j|George Ezra|7H1EYBP5XYudqRhjL5vG5j|Anyone For You (Tiger Lily)
2|6CDzDgIUqeDY5g8ujExx2f|Heat Waves|4yvcSjfu4PC0CYQyLy4wSq|Glass Animals|69K1zrf6TkXHdYUO8n2qVi|Heat Waves
2|6IlL9Xlnm0Oq6wXSe6TH9v|Used To This|6m8itYST9ADjBIYevXSb1r|Wilkinson|48vV65b1zjT4lCeO5MplHm|Used to This
2|6N1K5OVVCopBjGViHs2IvP|The Joker And The Queen (feat. Taylor Swift)|6eUKZXaKkcviH0Ku9w2n3V|Ed Sheeran|0vkAczpFKCazPKaoLtnBr0|The Joker And The Queen (feat. Taylor Swift)
2|6oYXbji1rn7U6bFuNYekpQ|Run|4EPJlUEBy49EX1wuFOvtjK|Becky Hill|7JCAQ1ISjY2Le5hcXUmU0L|Run
2|75MNhvTCCKsST3YqqUiU9r|Shivers|6eUKZXaKkcviH0Ku9w2n3V|Ed Sheeran|531c37GGv5IvddCvBv3sWT|Shivers
2|7z5G2LOdV8okZn4yWg3q5g|Night Away (Dance) (feat. Tion Wayne)|1WO1hFAkFbeo9tV3uVX7Dy|A1 x J1|6WQPgcOtZCoXGBZQOxDJQ0|Night Away (Dance) (feat. Tion Wayne)
3|3ie4EBzk6a4sdNOpWKhkeA|Clouds|24icoQNJSEWNu3XvqKBR68|Jordan Rakei|6Ifae2tRjg49lTQ9390iOD|What We Call Life
3|2t9bMYh6ZJGfAZPKJGnby0|Romeo (feat. Bas)|59oA5WbbQvomJz2BuRG071|Jungle|1hykVcbmenjAoG7wwoXmCV|Loving In Stereo
3|5Fpn28eEVPqWLiwQmGmWpz|I Want A Love Like This|1HOeqtP7tHkKNJNLzQ2tnr|Everything Everything|1eq2IYUBMX1mincEtLL06J|I Want A Love Like This
3|5rcGQIrv6eUIyCBfWga363|Borderline|24icoQNJSEWNu3XvqKBR68|Jordan Rakei|6vlatUhYlcoUkMfNIvmtLE|Origin (Deluxe Edition)
3|633Oe7gtfWB8lq1Vxyiahm|Once|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|0ON4FYmS4Zch1NV0lhv9hX|"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"|2QOIawHpSlOwXDvSqQ9YJR|Antonio Vivaldi|4eEJooUkzenp7lZTtfbIP7|The Four Seasons
3|5Io3OKuzK712xD001Hthzk|The Line|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|2gXYLIrLrHVViRCnbh8kCQ|NowIcaresomemore|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|3HghfkXDzz7gYCo4Xir8vI|Teletype|1HOeqtP7tHkKNJNLzQ2tnr|Everything Everything|27kg8Ig4ENnxyayLAjVK8q|Teletype
3|1r9xUipOqoNwggBpENDsvJ|Enemy (with JID) - from the series Arcane League of Legends|53XhwfbYqKCa1cC15pYq2q|Imagine Dragons|1bTgKomQYSkKYPD9UI9W4b|Enemy (with JID) [from the series Arcane League of Legends]
3|1Uxti0PEEdieT526B8dAxZ|Somethinggreater|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|6OnEsU4yuFEIuuK1pzZ0z5|Family|24icoQNJSEWNu3XvqKBR68|Jordan Rakei|6Ifae2tRjg49lTQ9390iOD|What We Call Life
3|6xTp4nC8NBRSYMxGqIikSh|Caroline|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3|4Oih3RDrSFg3afaOphBVuy|What Could Have Been feat. Ray Chen (from the series Arcane League of Legends)|0Ty63ceoRnnJKVEYP0VQpk|Sting|3MdiH74FL8mhlbnR6DcqJd|Arcane League of Legends (Soundtrack from the Animated Series)
3|64I9byMYBlS1ARsC3vtpgW|Ottolenghi|4oDjh8wNW5vDHyFRrDYC4k|Loyle Carner|1kokRXXxrJzhxdMo0vsVDV|Not Waving, But Drowning
3|6W1CYXq9pGEnNNCCW62xu8|Comingback|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|37pShAS4iuRXJeRAa9k6xw|Black Dog|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3|6TUBc3txhVoWVEqF1n44gS|Drawbridge|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|4GaVb4spqse4hOwiHpWXVC|Caruso|25MkkfEousyfp2eyh38FUl|Lucio Dalla|3gZv6Vq2Q2a300JEUV8Dq9|Classic
3|0EvZksFiDpboeG4UVaIvJa|Theworstthing|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|1HHIv96gVeVkoOBzQeH9d8|Too Good|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3|2xJAj1Q2IQBzGN39fNPdK8|Bluish|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3|5V3tf148hVOh00STK506Di|Big Nothing Glow|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|14tNhGhMYj6W5pPfdQoBmN|LIGHT|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|3Lw7kxX6di4Gpbvuq4FK4S|Teletype|1HOeqtP7tHkKNJNLzQ2tnr|Everything Everything|1eq2IYUBMX1mincEtLL06J|I Want A Love Like This
3|4lMlDOQZpMM6aFjucarRNA|Bad Friday|1HOeqtP7tHkKNJNLzQ2tnr|Everything Everything|1eq2IYUBMX1mincEtLL06J|I Want A Love Like This
3|5FUyn3zZNR2DxcJGsfJ9A8|Bad Friday|1HOeqtP7tHkKNJNLzQ2tnr|Everything Everything|27kg8Ig4ENnxyayLAjVK8q|Teletype
3|0JSG8Hu6aMidPm1QRqboQD|Inthecity (Interlude)|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|0wJmkLWgEP4y30WIPZqWuV|Waiting On Design|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|1WqYuxgkAV11lZDTM8DQj0|Easy Money|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|6kAOOamDflxqkrAWI6wZRR|Free|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|6pIem0QfCkJMl4ug4byHhk|Confirmation|09s6bLEw45wioK9ytf3nsA|Westerman|1KzaV3sPuiCAzByFtnfRtz|Confirmation
3|6ZVVax9sMTB6HPKu36eYZs|Hurt|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3|3VdzKymHyCA7OQdUiDREKF|Rise|0YC192cP3KPCRWx8zr8MfZ|Hans Zimmer|3sGDniFo4e5r0bwmSL2upZ|The Dark Knight Rises
3|168kXtIBw4nEJnvmR8nZBs|Think I'll Stay|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|4NIIFmGWg2JjE68rSPtSPI|Blue Comanche|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|2HpDcssMlgQXfmAUYhePIP|I Wonder Why|28EyduqESEOVMO6vglvaUZ|Joesef|1N7U7alOZtbA2m3AyAPEXf|I Wonder Why
3|0gcNTflElPYcxajA1LelYd|Confirmation (SSBD)|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|644es5aYPJghtZLjM1rmSP|Concerning Hobbits|0OcclcP5o8VKH2TRqSY2A7|Howard Shore|04rz93AqGy9JduzV3K81Dh|The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)
3|5rYTMjVkGioNF4MpSQISlg|Desoleil (Brilliant Corners)|4oDjh8wNW5vDHyFRrDYC4k|Loyle Carner|1kokRXXxrJzhxdMo0vsVDV|Not Waving, But Drowning
3|2FR4RtRGnsJ8a3UodZ5UPc|Dream Appropriate|09s6bLEw45wioK9ytf3nsA|Westerman|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3|6QzjpDOcw3iNEpThhku00y|Memento Mori|6WYhTsOkDtjLcZlwSrpBGm|Nathaniel Drew X Tom Fox|5tuCsC7rIetZYlOrfyOQtq|Memento Mori
3|3tbVwFLSct63LhbI2mU50s|Far and Beyond|4FX5p8T76gw69sWyPbggCj|Charles Bolt|3j0aL8TLtJ43y0Yd2gGz7O|Charles Bolt
3|0sT4slW2xWai3EwVSiuL9Y|Eugene|4kIwETcbpuFgRukE8o7Opx|Arlo Parks|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3|5MlY3mwE2eQlmaYHONLTaO|Forth Eorlingas|0OcclcP5o8VKH2TRqSY2A7|Howard Shore|1zIoYLpYOq8d4HFzHJ7vc8|The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack)
3|47w6S27JF4Zvrz1Wd6R66Z|What Kinda Music|1uiEZYehlNivdK3iQyAbye|Tom Misch|6iOCv7oGL5sGi2aVnRz2BI|What Kinda Music
3|6GyFP1nfCDB8lbD2bG0Hq9|Midnight City|63MQldklfxkjYDoUE4Tppz|M83|6EB14IXV5oyOiItGBv7mtG|Hurry up, We're Dreaming
3|26ka7pzhIonUoQFYjB6PbG|Free - Single Version|3oKRxpszQKUjjaHz388fVA|Parcels|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3|6rJ0Zq5u7DeZmkC6YDwJFF|Tarfala|0mWi0Jr9Ir8GPGVBpQqI1W|Karin Borg|4fSemSaJXbkH1gjX71waLy|Tarfala
3|3O5JIwSON3KBaoyMUsjLjn|Midnight Mischief - Tom Misch Remix|24icoQNJSEWNu3XvqKBR68|Jordan Rakei|3ssz8pi55szsiCBRpJr4xV|Midnight Mischief (Tom Misch Remix)
4|26QK5v5NHjnYOzKEdTZ7d3|Topshottas Freestyle|7bZpYWk0ZZN7CkOeXbAY0Z|Potter Payper|6J3iXdsFvuhSl7HjDoIwEn|Topshottas Freestyle
4|6Ex1t4s0LsfPH3sSGH44fR|Storm (before they blow)|46IxhJGbFfxwNEUu0GKfUQ|Spencer Flay|35lk8UQ9Z5KXYZkJR4jyoH|Sound Waves
4|3EaTPPQacnTrLkxx37PzCl|Billionaire|46IxhJGbFfxwNEUu0GKfUQ|Spencer Flay|35lk8UQ9Z5KXYZkJR4jyoH|Sound Waves
4|1qzlwbV6SwHYOR3mhu6ZEd|'97 Hov|5Matrg5du62bXwer29cU5T|Benny The Butcher|5OsHMGOg6lRV9REoVxbcWA|Tana Talk 3
4|3ZLyt2ndLFBh148XRYjYYZ|All We Got (feat. Kanye West & Chicago Children's Choir)|1anyVhU62p31KFi8MEzkbf|Chance the Rapper|71QyofYesSsRMwFOTafnhB|Coloring Book
4|7LFtQkNNBFQW42iJgCkUIT|On Time|4FqWInziQnhpDVKaMLAzkY|MJ Duke|1IBd4WIcI94PJ63zNxsfkn|On Time
4|0JJnuR0JEA4CW8wkbUdgak|Round Here|7bZpYWk0ZZN7CkOeXbAY0Z|Potter Payper|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
4|4RyhgKioN2DEKpF1Fo6iqG|Breaking Bad (Okay)|6EPlBSH2RSiettczlz7ihV|Sleepy Hallow|3WN4R900GY9WGhMcSFY4sX|DON'T SLEEP
4|7c521vBOcemu5hGQQRGNwS|Wraith-Ful|67gqUXxHedeUGDTxwBzdjS|Conway the Machine|0bwlrhBRjtqdy4eTlfg2UD|Reject 2
4|1Y1lfD897czmPqULtHS7E7|Heartbroken|4Q5MS10mWfrDyiXVeAAzVd|T2|5zS1u2oihFYN3jXgKh5lAC|Heartbroken
4|7i4jMVQC5XIUKLNO0knsp3|CR|0tPKcpC8yXpfdWXFcN7Vwr|Nines|1zkvGzVydD792tZYCFdLPD|From Church Rd. to Hollywood
4|4ZPdLEztrlZqbJkgHNw54L|Good Life|5K4W6rqBFWDnAN6FQUkS6x|Kanye West|4SZko61aMnmgvNhfhgTuD3|Graduation
4|3yaEcxsLmNJ8cM1AOK2YkM|Run It Back|1lPtXpdRwjw5S1QcAYUL6c|Hansen|2WLvpNSNvBlAAo6whCpJZj|Run It Back
4|2044mxQGxi3ZlCdATO9oOm|12 Summers|4E0mDf341TLViBbNefSrsK|Blade Brown|5pAvOdUwa9xzmVxSl4k6DN|Bags and Boxes 4
4|0mEdbdeRFQwBhN4xfyIeUM|Can't Tell Me Nothing|5K4W6rqBFWDnAN6FQUkS6x|Kanye West|4SZko61aMnmgvNhfhgTuD3|Graduation
4|60xaS8mYBKUW4VQQ666N0T|All Night (feat. Knox Fortune)|1anyVhU62p31KFi8MEzkbf|Chance the Rapper|71QyofYesSsRMwFOTafnhB|Coloring Book
