track_name|track_uri|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|type|valence
Drawbridge|6TUBc3txhVoWVEqF1n44gS|0.768|0.342|0.0444|0.786|120.048|0.861|130333|2|0.139|-10.603|1|3|audio_features|0.545
Caruso|4GaVb4spqse4hOwiHpWXVC|0.196|0.388|0.041|0.933|75.586|0.91|330933|7|0.102|-8.071|0|3|audio_features|0.0784
Theworstthing|0EvZksFiDpboeG4UVaIvJa|0.757|0.345|0.0365|0.03|81.025|0.411|183907|0|0.0955|-10.554|0|4|audio_features|0.624
Too Good|1HHIv96gVeVkoOBzQeH9d8|0.718|0.772|0.0529|0.0|95.917|0.298|221000|5|0.337|-5.155|0|4|audio_features|0.843
Bluish|2xJAj1Q2IQBzGN39fNPdK8|0.782|0.538|0.0903|1.94e-05|94.01|0.553|194053|10|0.0817|-8.042|0|4|audio_features|0.772
Big Nothing Glow|5V3tf148hVOh00STK506Di|0.598|0.402|0.061|0.0403|81.346|0.495|201813|7|0.0887|-8.257|1|4|audio_features|0.223
LIGHT|14tNhGhMYj6W5pPfdQoBmN|0.504|0.449|0.0452|0.73|102.874|0.696|373814|0|0.107|-12.575|1|4|audio_features|0.149
Teletype|3Lw7kxX6di4Gpbvuq4FK4S|0.817|0.633|0.0458|0.00125|120.001|0.0302|220147|0|0.0718|-7.666|0|4|audio_features|0.731
Bad Friday|4lMlDOQZpMM6aFjucarRNA|0.492|0.753|0.0383|0.00229|86.428|0.59|191960|1|0.395|-6.896|0|5|audio_features|0.838
Bad Friday|5FUyn3zZNR2DxcJGsfJ9A8|0.492|0.753|0.0383|0.00229|86.428|0.59|191960|1|0.395|-6.896|0|5|audio_features|0.838
Inthecity (Interlude)|0JSG8Hu6aMidPm1QRqboQD|0.125|0.407|0.0721|0.979|65.252|0.82|117427|9|0.11|-17.546|1|4|audio_features|0.0346
Waiting On Design|0wJmkLWgEP4y30WIPZqWuV|0.747|0.428|0.031|0.223|117.951|0.815|274520|0|0.125|-8.3|1|3|audio_features|0.352
Easy Money|1WqYuxgkAV11lZDTM8DQj0|0.771|0.409|0.0389|0.101|141.924|0.791|273493|2|0.0881|-8.021|1|4|audio_features|0.508
Free|6kAOOamDflxqkrAWI6wZRR|0.699|0.638|0.0381|0.0255|87.987|0.511|327867|10|0.0742|-9.81|1|4|audio_features|0.965
Confirmation|6pIem0QfCkJMl4ug4byHhk|0.77|0.336|0.0386|0.471|121.991|0.933|209309|8|0.0628|-12.699|1|4|audio_features|0.373
